sample_id,chromosome,gene,log2,cn,ecDNA_prob,ecDNA_status
P-0003149-T02-IM6-P-0003149-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0003164-T01-IM5-P-0003164-N01-IM5,8,ELOC,1.91381,8,0.3001731436608258,non-ecDNA
P-0003164-T01-IM5-P-0003164-N01-IM5,19,CCNE1,1.8441,8,0.25177663278632917,non-ecDNA
P-0003164-T01-IM5-P-0003164-N01-IM5,22,MAPK1,1.9411,8,0.3589181045922026,non-ecDNA
P-0003164-T01-IM5-P-0003164-N01-IM5,22,CRKL,1.9411,8,0.3235623891479621,non-ecDNA
P-0003290-T01-IM5-P-0003290-N01-IM5,8,FGFR1,2.89558,15,0.2711790484773513,non-ecDNA
P-0003290-T01-IM5-P-0003290-N01-IM5,8,NKX3-1,2.89558,15,0.2013180502555133,non-ecDNA
P-0003290-T01-IM5-P-0003290-N01-IM5,8,RECQL4,2.85873,15,0.19103582640556305,non-ecDNA
P-0003290-T01-IM5-P-0003290-N01-IM5,8,SOX17,2.85873,15,0.17333398562273727,non-ecDNA
P-0003290-T01-IM5-P-0003290-N01-IM5,8,ELOC,2.85873,15,0.22600773476498878,non-ecDNA
P-0003290-T01-IM5-P-0003290-N01-IM5,8,MYC,2.85873,15,0.19425428053818014,non-ecDNA
P-0003290-T01-IM5-P-0003290-N01-IM5,8,RAD21,2.85873,15,0.2276859032572207,non-ecDNA
P-0003290-T01-IM5-P-0003290-N01-IM5,8,NBN,2.85873,15,0.2432051338205371,non-ecDNA
P-0003290-T01-IM5-P-0003290-N01-IM5,19,CCNE1,2.97627,16,0.3372836548731829,non-ecDNA
P-0003405-T01-IM5-P-0003405-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0003421-T01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0003435-T01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0003484-T01-IM5-P-0003484-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0003486-T01-IM5-P-0003486-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0003554-T01-IM5-P-0003554-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0003571-T01-IM5-P-0003571-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0003633-T01-IM5-P-0003633-N01-IM5,7,XRCC2,2.46163,12,0.5270603719565752,ecDNA
P-0003633-T02-IM6-P-0003633-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0003731-T01-IM5-P-0003731-N01-IM5,8,RAD21,1.95199,8,0.33970671272686304,non-ecDNA
P-0003775-T01-IM5-P-0003775-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0003959-T01-IM3-P-0003959-N01-IM3,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0004071-T01-IM5-P-0004071-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0004079-T01-IM5-P-0004079-N01-IM5,17,STAT5A,2.05029,9,0.3509053843252548,non-ecDNA
P-0004079-T01-IM5-P-0004079-N01-IM5,17,STAT5B,2.05029,9,0.3871646279603369,non-ecDNA
P-0004079-T01-IM5-P-0004079-N01-IM5,17,STAT3,2.05029,9,0.3863360859769382,non-ecDNA
P-0004082-T01-IM5-P-0004082-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0004097-T01-IM5-P-0004097-N01-IM5,12,ETV6,1.88613,8,0.43935315415320736,non-ecDNA
P-0004163-T01-IM5-P-0004163-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0004163-T02-IM6-P-0004163-N01-IM6,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0004351-T01-IM5-P-0004351-N01-IM5,1,NOTCH2,2.30203,10,0.3643250612087774,non-ecDNA
P-0004351-T01-IM5-P-0004351-N01-IM5,12,CDK4,1.89436,8,0.26185356745157523,non-ecDNA
P-0004351-T01-IM5-P-0004351-N01-IM5,12,GLI1,1.89436,8,0.2916246553365088,non-ecDNA
P-0004351-T01-IM5-P-0004351-N01-IM5,19,DNMT1,2.55645,12,0.5072589528880321,ecDNA
P-0004351-T01-IM5-P-0004351-N01-IM5,19,CCNE1,3.24859,20,0.4020053209931365,non-ecDNA
P-0004481-T01-IM5-P-0004481-N01-IM5,17,RPTOR,1.93327,8,0.2800085334264075,non-ecDNA
P-0004481-T01-IM5-P-0004481-N01-IM5,17,AXIN2,1.93327,8,0.21019374229866045,non-ecDNA
P-0004481-T01-IM5-P-0004481-N01-IM5,17,SRSF2,1.93327,8,0.1585934218258553,non-ecDNA
P-0004481-T01-IM5-P-0004481-N01-IM5,17,HOXB13,1.93327,8,0.16241950833935,non-ecDNA
P-0004481-T01-IM5-P-0004481-N01-IM5,17,RAD51C,1.93327,8,0.1554140827068403,non-ecDNA
P-0004481-T01-IM5-P-0004481-N01-IM5,17,SOX9,1.93327,8,0.16867140440546052,non-ecDNA
P-0004481-T01-IM5-P-0004481-N01-IM5,17,CD79B,1.93327,8,0.16031202981264386,non-ecDNA
P-0004481-T01-IM5-P-0004481-N01-IM5,17,SPOP,1.93327,8,0.23269515497013687,non-ecDNA
P-0004481-T01-IM5-P-0004481-N01-IM5,17,MAP3K14,1.93327,8,0.22256234755935958,non-ecDNA
P-0004481-T01-IM5-P-0004481-N01-IM5,17,PPM1D,1.93327,8,0.22787630528040112,non-ecDNA
P-0004481-T01-IM5-P-0004481-N01-IM5,17,PRKAR1A,1.93327,8,0.24388025801346178,non-ecDNA
P-0004481-T01-IM5-P-0004481-N01-IM5,17,BRIP1,1.93327,8,0.25592696546880234,non-ecDNA
P-0004481-T01-IM5-P-0004481-N01-IM5,17,H3-3B,1.93327,8,0.15888821279188614,non-ecDNA
P-0004481-T01-IM5-P-0004481-N01-IM5,17,RNF43,1.93327,8,0.22745478915316994,non-ecDNA
P-0004498-T01-IM5-P-0004498-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0004505-T01-IM5-P-0004505-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0004590-T01-IM5-P-0004590-N01-IM5,6,PIM1,3.62837,25,0.3893559762380715,non-ecDNA
P-0004590-T01-IM5-P-0004590-N01-IM5,6,CCND3,3.66368,26,0.47797018255169943,non-ecDNA
P-0004590-T01-IM5-P-0004590-N01-IM5,6,VEGFA,2.76558,14,0.3616102693242086,non-ecDNA
P-0004590-T01-IM5-P-0004590-N01-IM5,8,NBN,2.02896,9,0.2736302718760778,non-ecDNA
P-0004590-T01-IM5-P-0004590-N01-IM5,12,CDK4,3.8151,29,0.3725048545958323,non-ecDNA
P-0004590-T01-IM5-P-0004590-N01-IM5,12,MDM2,3.44447,22,0.3915821559951627,non-ecDNA
P-0004671-T01-IM5-P-0004671-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0004772-T01-IM5-P-0004772-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0004884-T01-IM5-P-0004884-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0004931-T02-IM5-P-0004931-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0004932-T01-IM5-P-0004932-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0005006-T01-IM5-P-0005006-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0005028-T01-IM5-P-0005028-N01-IM5,NA,NA,NA,NA,NA,No genes above ECHO amplification threshold
P-0005101-T01-IM5-P-0005101-N01-IM5,7,BRAF,2.31595,10,0.3733451875362551,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,16,PDPK1,2.25471,10,0.4630255662884683,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,STAT5A,1.82801,8,0.19724920217810335,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,H3-3B,1.82801,8,0.15436097489487985,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,STAT5B,1.82801,8,0.2259474668495739,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,MAP3K14,1.82801,8,0.21669221123650975,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,ERBB2,1.82801,8,0.20956683313024693,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,BRIP1,1.82801,8,0.24947049675347482,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,RAD51D,1.82801,8,0.20013300744870063,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,HOXB13,1.82801,8,0.15781057008016564,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,SPOP,1.82801,8,0.2266377349856335,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,RNF43,1.82801,8,0.22149326729244076,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,CD79B,1.82801,8,0.1557517501531428,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,STAT3,1.82801,8,0.22522924820070125,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,AXIN2,1.82801,8,0.2045624204960591,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,SUZ12,1.82801,8,0.2210930490830979,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,PRKAR1A,1.82801,8,0.23762524009272065,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,SOX9,1.82801,8,0.1639198673330732,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,RARA,1.82801,8,0.2140067178536421,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,RAD51C,1.82801,8,0.15096803471256814,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,CDK12,1.82801,8,0.224505178547548,non-ecDNA
P-0005101-T01-IM5-P-0005101-N01-IM5,17,BRCA1,1.82801,8,0.22722282182297904,non-ecDNA
